"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"info_exchange_5_7_9"
"06/06/2021 13:21:08:226 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"6","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","46.6","0.556","0.5539999999999998","61.66236884434032","25.697473583513524","0.07707343366073616","131.6375758307536"
"4","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.5780000000000001","0.5414285714285714","58.32046075151218","27.32266445555891","0.07188780320855984","128.98859480884423"
"3","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.576","0.5571428571428569","58.94215068869291","27.7860511098553","0.077768952537771","130.53566717940313"
"5","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","29.8","0.5680000000000001","0.5525714285714289","51.81239881321406","33.70984240794999","0.07292870600286108","128.82578897518061"
"2","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.588","0.5462857142857143","58.27310548800796","27.514643842720083","0.07989746113450594","129.04751087651607"
"7","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.5660000000000001","0.5605714285714285","58.38572900773198","27.315048126139914","0.07079979847479194","129.11051399082163"
"8","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.5519999999999999","0.5462857142857143","54.37270113053457","31.144099614259247","0.07400821692040438","128.75761393540128"
"1","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.554","0.556285714285714","58.38195020991022","28.35679029995843","0.09546953208336362","130.19772584642806"
"9","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.568","0.5640000000000001","58.78084097674677","27.284997745315295","0.06889103607170598","129.7100157666614"
"10","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","44.2","0.554","0.5577142857142858","58.00104243549701","28.79534188585182","0.07333663819692049","130.83506177971225"
"12","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.562","0.5505714285714287","54.9188912519399","31.26019823104914","0.07425293308010339","129.76494185427114"
"11","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.572","0.5448571428571429","57.751225374957535","27.02859206264655","0.07089752296907932","127.69801799299879"
"14","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.5619999999999999","0.5517142857142856","57.791890006123005","27.40331376508355","0.07677134267711949","128.2224727694737"
"13","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.5599999999999999","0.5397142857142856","53.945338847493176","30.85860493908128","0.07301382485886095","127.68493078456872"
"15","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.5759999999999998","0.5611428571428574","58.63263273079468","27.697533379507963","0.09126799155133228","129.65380251024317"
"16","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","27.4","0.5439999999999999","0.556","51.51937924915244","34.62623457506825","0.07116913030978225","129.8029372350744"
"17","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","70.6","0.6359999999999999","0.5302857142857142","67.32234383969406","23.183764788323863","0.08611515993527236","136.25804051161194"
"18","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.5439999999999999","0.5654285714285718","58.03523628148503","27.85444431255364","0.08004756529889648","129.21981518211706"
"19","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.558","0.5548571428571432","54.06229317788922","31.295230518402466","0.07832600869042353","128.43540569920773"
"20","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","44.2","0.568","0.5471428571428572","61.98051862233219","25.609215214655578","0.06951980747762292","132.12571837425685"
"21","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.53","0.5631428571428572","53.904356873216294","31.056459845764337","0.07822114048734932","127.84034669422121"
"22","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","56.2","0.5640000000000001","0.5517142857142856","59.881375050134054","27.750588817628415","0.0703919629350267","132.18052847939433"
"23","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.55","0.5597142857142856","54.4544333807244","31.462068533856307","0.07265565960230162","129.400744823827"
"24","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","51.4","0.526","0.5557142857142856","59.20223927265166","28.15176930811952","0.07567313438412669","131.64339302660318"
"25","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.5660000000000001","0.5679999999999996","57.9272583731463","28.105073125215874","0.08153255470708985","129.4042387868105"
"26","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.5599999999999999","0.5571428571428574","57.80386830957758","27.297281007000713","0.07089192119102564","128.18582977062377"
"27","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5780000000000001","0.5391428571428571","50.568872804143794","35.787470468031316","0.0809527467306765","129.97012304157667"
"29","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.574","0.5494285714285714","54.6799881257804","31.128489165461275","0.07533871561327743","129.17371860440088"
"28","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.558","0.5557142857142856","58.44746033682685","27.673053452996065","0.07950998827804626","129.57332791301036"
"31","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","46.6","0.534","0.5614285714285714","58.164453607332185","28.692246188935925","0.076507822960167","130.89632663603498"
"30","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.626","0.5325714285714289","58.67664619283411","26.793959502618247","0.07706343310379112","128.6162983220512"
"32","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.584","0.5599999999999996","58.07653702098388","27.403706327612145","0.07870826844545747","128.6150945715666"
"33","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","27.4","0.582","0.5545714285714283","55.3644710465324","31.11490010119465","0.09576183412924025","129.8185350634471"
"34","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.5919999999999999","0.5434285714285711","55.63715281842119","30.9366376512439","0.07334592011176114","130.3669587009396"
"35","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.5599999999999999","0.5462857142857143","54.565837574998135","31.694612098599894","0.08178856391983658","129.74158306684137"
"37","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.6039999999999999","0.5408571428571425","58.72757057148166","27.393849792385897","0.08370460740659952","129.4773004510739"
"36","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","53.8","0.61","0.5445714285714285","64.9248158860198","23.11753314481401","0.08604641699678127","132.47385060847765"
"38","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","27.4","0.6020000000000001","0.5448571428571429","55.26556402116193","30.45425286417926","0.06973379173714278","129.16913097081266"
"39","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.584","0.5468571428571427","58.31507206704146","27.823387918350104","0.0816127722824561","129.55120562577943"
"40","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.562","0.5680000000000001","57.99869610213333","27.762140187540655","0.0770793443592396","129.07594380725948"
"41","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","56.2","0.5720000000000001","0.5502857142857143","63.176927128516034","24.45363627392348","0.08712877772208004","131.82348440587594"
"42","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.608","0.5485714285714289","58.98476003764012","26.712610278232802","0.07214291669866668","129.06004980094718"
"43","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.584","0.5451428571428574","59.11058972265591","27.2763434572958","0.07806217945855282","130.00151696638451"
"44","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","44.2","0.5700000000000001","0.5477142857142856","58.64416004472824","28.23820356706261","0.07686157005439896","130.90182449176945"
"45","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.576","0.5551428571428572","58.1659426406188","27.632848682954883","0.08305485372093813","129.0066095525657"
"46","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.572","0.5465714285714287","58.132794819199816","27.150429889660472","0.07520162316484687","128.37793412400455"
"47","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.5800000000000001","0.5377142857142858","55.1893103870289","30.679212032791373","0.07499760569966583","129.27193354076815"
"48","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.5660000000000001","0.5397142857142856","54.40572455180511","31.001034385346014","0.07645578202956359","128.53406249432942"
"49","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","25","0.584","0.5608571428571429","58.85857039483787","28.05272302399838","0.09188991051830159","130.52948428963364"
"50","0.002","5","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","34.6","0.536","0.5482857142857145","52.34471947560779","34.2666013042942","0.0912752712998838","130.15282887955783"
"51","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.576","0.5514285714285716","60.69980718009068","26.126623314927254","0.0842756600802062","130.64449356426888"
"53","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.596","0.5308571428571427","57.12019354938533","28.75629349978081","0.07350320525851971","129.3915959543534"
"52","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5980000000000001","0.54","60.491445376300675","25.98824819895982","0.07938871403335668","130.20242425107892"
"54","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5820000000000001","0.5488571428571429","56.825525748794725","29.36335913942109","0.08599431786080346","129.63535501183156"
"55","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.592","0.5571428571428574","61.08794212281828","26.274052437962034","0.08653861376409965","131.4219440342419"
"56","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","61","0.578","0.5591428571428572","46.99055845970897","41.299797675314075","0.09238270833371445","132.7684464285641"
"57","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.606","0.5371428571428574","57.845934552393615","29.334327181222598","0.08798699759211247","131.0987451672053"
"58","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","61","0.5559999999999999","0.5522857142857145","45.68660010936994","42.534463922215416","0.09649511502163222","132.58224023925015"
"59","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6140000000000001","0.5368571428571429","60.94466405970273","25.650200307693016","0.08584265095704353","130.2438348975254"
"61","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","51.4","0.544","0.5382857142857143","59.83901684277212","27.383340420868365","0.07342967815071262","131.49540246873158"
"60","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","58.6","0.606","0.5182857142857142","62.03101935251878","26.756122203977792","0.08932446825834575","133.55194632927737"
"62","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","51.4","0.6039999999999999","0.5311428571428571","56.62255838008511","31.51081916468897","0.07875690773203559","132.76237126996227"
"63","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","61","0.558","0.5534285714285714","45.61205809549269","42.70239103965466","0.10749762463127013","132.5104355232473"
"64","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5499999999999999","0.5611428571428569","56.41425704578055","29.98020787355415","0.09103636734662786","129.8528027522733"
"65","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","53.8","0.5619999999999999","0.5551428571428572","60.23117432754983","27.476579841034745","0.08078953373996996","132.11350781726412"
"66","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5900000000000001","0.5462857142857143","60.2445557070786","26.503949320171493","0.08881049928291702","130.42859306989712"
"67","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","53.8","0.572","0.5468571428571432","55.68340348227534","32.04736741595617","0.08186726876354983","132.10713724377675"
"68","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","39.4","0.5740000000000001","0.5608571428571425","57.569694970819256","29.98460693355805","0.10519469373287649","131.3679589626442"
"69","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.598","0.5300000000000002","57.44635404323723","29.84847294828213","0.0892916671721281","131.24338647798606"
"70","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","46.6","0.586","0.5514285714285716","55.913081551738834","30.733721737015365","0.08284680108201314","130.430326855344"
"71","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","49","0.606","0.5271428571428571","53.443456707708926","34.12592506286624","0.09425307339013217","131.61062817505461"
"72","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","58.6","0.5820000000000001","0.5420000000000003","61.6629704261144","27.13055422459603","0.08374479219792336","133.70353621953345"
"73","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5820000000000001","0.548","56.619826504881075","29.264132998055256","0.08654026969313122","129.15718664978817"
"74","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","44.2","0.622","0.5442857142857145","58.055709977872624","28.64360771294485","0.1034021860126245","130.07885151784245"
"75","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5940000000000001","0.5494285714285718","60.88963314934358","25.97744706961575","0.09576690852817649","130.48284575800804"
"76","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","63.4","0.578","0.536","61.39322282037885","27.412914831603654","0.08395241416040022","133.6891403874266"
"77","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.622","0.5437142857142856","61.265198245431655","26.315274410028852","0.09093219263939858","131.65754285356115"
"78","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.624","0.5282857142857145","58.23567050722253","29.14081134441614","0.0835495504835862","131.47969432762972"
"79","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.61","0.5237142857142856","57.552885103105496","29.37802596038125","0.08990387800349141","130.66696164627965"
"81","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.602","0.5505714285714287","60.853994909380475","26.171759786979255","0.08148325430150294","131.00389298936688"
"82","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5780000000000001","0.5477142857142856","60.29933625525671","26.129760284321158","0.08669150489042324","129.98159456489014"
"83","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","56.2","0.5279999999999999","0.5594285714285716","57.535840486602716","30.32072933636919","0.08145203868452314","132.32781011916666"
"80","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","46.6","0.5680000000000001","0.5408571428571429","54.978601929873534","32.182314146107124","0.07761761181885163","131.33020780330526"
"84","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","51.4","0.592","0.5394285714285716","58.87804201048263","27.843430444996397","0.08020267522149567","130.58392171382383"
