"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"nbh_size_500_600_700"
"06/06/2021 14:20:27:774 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"3","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.596","0.5408","57.4653760433535","29.77944716750387","0.10548935081480267","130.84162534481493"
"5","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.64","0.5404","57.67125974018214","29.894579190578934","0.11119974744282644","131.21993841225424"
"4","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","53.8","0.532","0.5404","55.03434907069065","33.5955384567098","0.08410493848857215","133.43538284133956"
"8","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","49","0.6319999999999999","0.5423999999999998","64.30863696266108","24.30545272577696","0.10369836142805583","133.01173382699446"
"2","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","39.4","0.61","0.5503999999999998","55.88230341273692","30.084556386038972","0.07036216479188369","129.61593548194023"
"7","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.616","0.5304000000000002","57.00740537302062","29.506278860278268","0.09617183268753991","129.9161731518048"
"1","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","41.8","0.614","0.5335999999999999","55.8197026607138","31.519960212593816","0.11150877747165994","130.88312639501092"
"6","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.608","0.5528","57.523809216849116","29.77340839805941","0.09865468131014268","131.07886587379707"
"9","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.582","0.544","57.27815317923958","29.46170481744418","0.09834597651595943","130.21509933079204"
"10","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.612","0.5511999999999997","60.34562275640915","26.50899431632563","0.10726336932952735","130.22952466896524"
"12","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.596","0.5411999999999999","56.734225169758666","30.007944832670887","0.09730798649693498","130.24949582561663"
"11","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.5780000000000001","0.5392000000000001","54.888356896732276","31.824400085686523","0.09241261663893995","130.30806550055453"
"13","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.6519999999999999","0.5223999999999998","60.94882152560038","25.802364759771397","0.11683710464953237","129.8480242403427"
"14","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.588","0.5484","57.39787880640812","30.30749157659636","0.10515059540682757","131.56833289741908"
"16","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.622","0.5299999999999998","57.96910508765814","29.437079862966613","0.09153569023053053","131.36450641761186"
"15","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.568","0.5531999999999999","56.834343782603185","29.743796946686942","0.08530102023567565","130.25551015084204"
"17","0.002","7","false","0.02","5","2","500","false","high temperature rise","0.01","4","10","239","37","0.602","0.536","60.39667136408155","25.63068436331338","0.08841361994624464","129.32769601774166"
