"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"percentage_per_svo_10_15_20"
"06/06/2021 15:09:02:730 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"3","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.616","0.5299999999999998","61.552881542857506","25.518938437199033","0.07703290928501048","131.14878875874427"
"7","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5700000000000001","0.5388571428571431","60.78050526283431","26.5763387231985","0.0918384662195848","131.29672057640207"
"2","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.596","0.5245714285714285","56.96739278948585","29.670354670480826","0.09232720932760544","130.1731525396382"
"8","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5559999999999999","0.5528571428571429","56.46069589172632","29.975222263020907","0.08587817561524105","130.0145073210288"
"4","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6","0.532285714285714","57.16636687940404","28.83073253332095","0.06716109528184973","129.70089809436288"
"6","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6479999999999999","0.5339999999999998","61.037057444849424","25.800303564224553","0.08684789032924983","130.59762185611345"
"1","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5860000000000001","0.5502857142857143","60.81857377018162","25.994476615070322","0.08917064413001015","130.5259633277171"
"5","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.618","0.524285714285714","57.73199011927712","28.83951307977084","0.07671033452108844","130.38857759529262"
"9","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5439999999999999","0.5577142857142858","57.052827323870574","29.894118845755457","0.08190864347420473","130.88446949162727"
"14","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","39.4","0.614","0.5434285714285711","57.68321421187241","29.070732690663004","0.09384544846485739","130.34559549498888"
"10","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5619999999999999","0.5442857142857145","60.174139338215184","26.82573941067249","0.0812909857430526","130.9695182613293"
"12","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.616","0.5331428571428574","60.49326294187161","25.798319114743226","0.08684984530788996","129.76248813352467"
"13","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","51.4","0.586","0.5582857142857143","63.209588946742265","24.873128577417802","0.0831021300564629","132.61938577188644"
"11","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","44.2","0.606","0.5294285714285718","56.190328681111914","31.395268797775763","0.09442390762245907","131.6229339904082"
"16","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6119999999999999","0.5374285714285714","60.62517514105298","26.252654139038654","0.08799832318196366","130.64042867524952"
"15","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.582","0.5485714285714285","56.89768232416696","29.43467732100878","0.08256405816488553","129.91850967003566"
"17","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","61","0.53","0.5754285714285716","45.81654657434079","42.628214821023434","0.09465032492277033","132.9749684023385"
"20","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5980000000000001","0.5342857142857143","61.05324267441509","25.956170574007672","0.0814418940172189","130.96673979822674"
"18","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","61","0.5820000000000001","0.5497142857142858","46.432476100565836","42.095082176537495","0.09996093862807101","132.97434283458182"
"19","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6220000000000001","0.5251428571428574","57.53710537362018","28.877954482493312","0.07946134292582059","130.09100435180105"
"22","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6180000000000001","0.5382857142857143","61.68177063641707","25.67958242908851","0.07782928692988095","131.57127670187796"
"23","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.598","0.5614285714285714","61.27330901078077","26.406917174681368","0.09416613185871939","131.75598924774604"
"21","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.62","0.5348571428571431","57.276781215661394","29.196578276969444","0.08940979258410807","129.99308355308025"
"24","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.604","0.5477142857142856","61.7885828930379","25.858257704892083","0.0828224106940425","131.9221824408813"
"25","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6039999999999999","0.535714285714286","61.280070865128245","26.03926509552745","0.08756241248229771","131.315974905116"
"26","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.618","0.5288571428571429","61.227652170635224","25.498668129937204","0.07323218378463565","130.6876723758946"
"27","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.562","0.5471428571428572","57.05318156244879","29.600716603587635","0.07326559826973522","130.60198636793865"
"28","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.614","0.5491428571428569","61.22371144026843","26.271950643320867","0.09460187011943333","131.44875101030942"
"30","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","51.4","0.5800000000000001","0.560285714285714","62.9155705531744","24.938911716222243","0.08591110811469066","132.22567045675362"
"29","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.602","0.540285714285714","61.178371702445396","25.741765145697336","0.0791943030067273","130.8797813406593"
"31","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.608","0.5371428571428569","60.65530545851495","26.07424018924049","0.09064038396632555","130.3617211500386"
"32","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.616","0.5445714285714285","61.335745057541644","25.963535717878262","0.08901067147968576","131.2592676815173"
"33","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5860000000000001","0.5419999999999998","60.81170572593423","25.852351428496544","0.07853900029041797","130.50323574816"
"34","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","44.2","0.602","0.5314285714285716","55.55341750366202","31.682100316242433","0.08962277958691943","131.1866147058805"
"35","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.586","0.5414285714285714","57.02880742922","29.402820453213206","0.08305719979828013","130.05182771038346"
"36","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.618","0.5334285714285714","57.06402535941029","29.200583374173856","0.09164843270482237","129.61827684193483"
"37","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","63.4","0.646","0.5185714285714287","65.22177340787545","23.69586214866985","0.09183146528566227","133.6936449998429"
"38","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.616","0.5505714285714283","60.72135596069748","26.01686214229203","0.09289107242965287","130.34123124981954"
"39","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","41.8","0.5820000000000001","0.5425714285714283","54.03547273920205","31.449596367636094","0.07019554923230942","128.8831497494812"
"40","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6","0.5514285714285712","61.65233984618778","25.707895438217143","0.07383487797051629","131.6678100993195"
"41","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6039999999999999","0.5362857142857145","60.84217454842043","26.215296098435925","0.08826733658789863","130.899363942845"
"42","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6060000000000001","0.5408571428571429","57.166236856305545","29.427201969157192","0.08555136921131351","130.25210152450376"
"43","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.632","0.5302857142857142","61.22211388291322","25.682212351862926","0.07702345386768741","130.88011268851906"
"44","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.584","0.548","60.79270456722572","26.29701810647733","0.08011585979886036","131.12344167307083"
"45","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","61","0.5800000000000001","0.5540000000000003","46.653089895985275","41.99401859131808","0.10402485006262624","133.08505159001737"
"46","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5940000000000001","0.5422857142857143","61.02115984366982","25.883793801349203","0.07901197161154982","130.86220834554683"
"47","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6239999999999999","0.5428571428571427","57.8176377281013","29.116015693021254","0.08240346565599027","130.8342862225944"
"48","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5539999999999999","0.5639999999999996","61.01862035409709","26.904593945410586","0.09940941193193283","132.02833537247258"
"49","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.624","0.5302857142857142","60.9230044376624","25.658554439073566","0.08296131746232192","130.27642674599178"
"50","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","53.8","0.5820000000000001","0.5491428571428569","63.83050636556207","24.511933138554543","0.08376639314998045","133.02083297033354"
"51","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.658","0.548285714285714","60.16231925864544","26.30482022698873","0.1849408572105304","128.07015108991618"
"52","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.656","0.5437142857142856","59.504997787301676","26.834256992099448","0.2169209936450848","127.24340953186011"
"53","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.6679999999999999","0.5345714285714287","60.47611707411896","26.060621359298263","0.186062598639235","128.1520810034057"
"54","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.646","0.5488571428571425","60.95118833944159","25.98711757295718","0.1642256998844488","129.21207096262873"
"55","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.6799999999999999","0.5325714285714285","60.93984919089842","26.00255650621881","0.18322426924469257","128.82508677780467"
"56","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","63.4","0.664","0.5225714285714282","64.85303269866127","23.59876631570623","0.1653197621202324","131.5151065631506"
"57","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.682","0.5374285714285718","61.09673781577975","25.987150519262066","0.1804854255842443","129.09912287720377"
"58","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","56.2","0.6699999999999999","0.5291428571428574","63.781105407773495","23.90688899079901","0.15673317272947287","130.53742448191804"
"59","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","39.4","0.6460000000000001","0.5474285714285712","57.1922090658448","29.828843123569467","0.18646022323426337","128.90511898769572"
"60","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.6699999999999999","0.5457142857142858","61.00337122788309","26.24290210468169","0.18514564247305287","129.2588437775233"
"61","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.67","0.5351428571428571","59.81736591047143","26.27963791873951","0.19566115295485176","127.28570307185511"
"62","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.6619999999999999","0.556","60.442869016756546","27.32371353417803","0.2184753744906459","129.39479443479058"
"63","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.626","0.5640000000000001","60.27803721816577","26.399850239839786","0.1720313281498932","128.6790539131927"
"64","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","56.2","0.672","0.5319999999999996","64.60080587227641","23.487016713227383","0.166753394171252","130.9570537435588"
"65","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","61","0.666","0.532","65.6574270974246","23.522177908214307","0.14638133389571664","133.02145453240323"
"66","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","61","0.622","0.5497142857142858","58.30248304988819","30.77637354423432","0.15613895538927808","132.69536420570677"
"67","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.6519999999999999","0.5391428571428571","56.795659021673266","29.415064462609948","0.18520503610949746","127.68190026987374"
"68","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.668","0.5468571428571427","59.931625599477485","26.75526789696664","0.21479640374536474","127.81326898858492"
"70","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.676","0.5534285714285714","59.936936094766246","26.790000708803102","0.23169460469400677","127.55262826326269"
"69","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","44.2","0.634","0.5554285714285716","62.71652191928663","25.014024330142615","0.16438409691237013","130.4497802046096"
"71","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.6839999999999999","0.5419999999999998","60.711462884392915","25.999843290495985","0.17978369004895145","128.54389215140168"
"72","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","61","0.6900000000000001","0.5385714285714287","48.21865728084045","40.849420968391385","0.16271299863531966","132.53298127729374"
"73","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.666","0.5394285714285716","60.921092497212356","25.66417840436991","0.16030165761686563","128.74015313734506"
"74","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.6679999999999999","0.5308571428571431","56.958404801250715","29.44970346226551","0.18446726882815626","127.98817896867487"
"75","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","49","0.6539999999999999","0.5388571428571427","58.89583529829513","28.2761590531619","0.15310459551102867","129.82062995485865"
"77","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.646","0.5425714285714283","60.296293346596535","25.983802999879625","0.1550908167422662","128.39490187944045"
"76","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.654","0.556","60.067569322374375","26.75213476136817","0.2035210800287146","128.25120570101308"
"78","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.65","0.5631428571428572","60.501568864764806","26.43228663532055","0.18836696792803168","128.73588391524893"
"80","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.652","0.5434285714285716","60.44681419221034","26.325963012245726","0.17336978214957527","128.77418052764355"
"79","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.636","0.5311428571428571","59.866123760709655","25.90094754292207","0.1595558550727823","127.51248131124292"
"81","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.646","0.5485714285714285","59.443376179479266","26.6903087881908","0.19064209042478666","127.44906420340891"
"82","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.6759999999999999","0.536","60.577846986097505","26.315222781724145","0.19681695203728256","128.48184345925446"
"83","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.618","0.5548571428571427","59.41943626571896","27.12669871790832","0.19280972151048986","128.05601935947294"
"85","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.664","0.5425714285714283","57.586718885742116","29.4075626795074","0.16811884203451513","129.2166187743892"
"84","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.652","0.5448571428571429","60.21633292206251","26.194595534905414","0.18035613180862528","128.08508440747806"
"86","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","44.2","0.6359999999999999","0.5451428571428569","58.7145936910915","28.503629010406062","0.147389915171037","130.00537026800777"
"87","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.666","0.5565714285714285","60.82622779084521","26.59667149772829","0.19264873232084342","129.38839702025"
"88","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.656","0.5374285714285714","56.35582059245513","29.570172268291426","0.17916062519491974","127.35853596832412"
"89","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.654","0.5528571428571429","61.09052970388294","26.016182297120576","0.1793414765195152","129.1819463624666"
"90","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.6499999999999999","0.5434285714285716","59.39302884657005","26.82311572324339","0.21117221253134205","127.17496753508743"
"91","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.652","0.5465714285714283","60.95161411159158","25.94616802793888","0.15343523463123745","129.36897530737514"
"93","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","41.8","0.6639999999999999","0.5577142857142858","57.38190006161839","29.64956369718696","0.21704456521793958","128.3250777234191"
"92","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","46.6","0.6199999999999999","0.5551428571428572","61.51808667441306","25.090849284012183","0.1547416390643761","128.93883303220434"
"94","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.636","0.5551428571428572","59.96423494807919","26.443080007027632","0.1696882470973364","128.29745924456117"
"95","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.656","0.5414285714285714","57.51193795647179","29.631158473139035","0.17399894612317582","129.3231207600761"
"96","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.65","0.5468571428571427","60.764433505814736","25.982753947837434","0.16014456485932557","129.00163917900434"
"97","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","63.4","0.648","0.5468571428571427","64.63189440374906","24.3714421308326","0.15995764195473186","132.49096618868305"
"98","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.6719999999999999","0.5388571428571427","60.461101469141404","26.038382051475136","0.18997032507411404","128.02179818105733"
"99","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.622","0.5671428571428572","60.107469956682934","26.511270894944374","0.18082032828043","128.41619027962938"
"100","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","65.8","0.654","0.5317142857142856","62.19364687244837","26.04616296128134","0.1431196956447181","131.64223219821676"
"101","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.6980000000000001","0.5565714285714285","60.22621910209698","26.976214582710302","0.30442068928340693","126.81721073814137"
"102","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.6980000000000001","0.5394285714285716","60.02534495402323","26.052312390551737","0.2943989246198328","125.2907665472853"
"103","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.7220000000000001","0.5337142857142858","60.58566254310746","26.23026966613763","0.2815336452767312","126.6700396341478"
"104","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","46.6","0.696","0.5537142857142858","62.19081965472859","25.20293789765767","0.2787264438632057","127.63276372194203"
"105","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","61","0.712","0.5385714285714287","45.76751999412266","42.35745757694053","0.30707410166923527","128.2139401689961"
"106","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.728","0.5411428571428574","60.37545322067596","25.856814790405206","0.302411054029708","125.36553836385066"
"107","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","56.2","0.7140000000000001","0.5460000000000003","63.250969261201014","25.093554352819357","0.27457445860229657","129.16582477636683"
"109","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.712","0.5425714285714287","60.19092401224998","26.27651874397186","0.30889265689587336","125.60931204065422"
"108","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.7140000000000001","0.5454285714285718","61.51126270811962","26.14922228545169","0.318083782633348","127.24083990288868"
"110","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.706","0.5374285714285714","60.12707515213337","26.667916600219034","0.3289739586403144","125.70224249386044"
"111","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.712","0.5474285714285712","60.78455473376196","26.945281331962434","0.33546050714890896","127.00655721813277"
"112","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","61","0.736","0.5300000000000002","46.57165858038189","41.592446995992695","0.2917352535654345","128.57214381758027"
"113","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","58.6","0.706","0.5428571428571431","64.41752193013517","24.27569941602265","0.23357892735011632","130.55193619506093"
"114","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.692","0.5488571428571429","60.04866936281845","26.928539161164483","0.2829476098723028","126.89430137398232"
"115","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","20","239","37","0.72","0.5579999999999998","60.1314975854441","26.205136967889153","0.31758990275661747","125.23550172661345"
