"BehaviorSpace results (NetLogo 6.1.0)"
"TECSecurityUI-V2021-05-28 (1).nlogo"
"nu_of_links_2_3_4"
"06/06/2021 14:19:38:615 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"4","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6080000000000001","0.5471428571428572","61.19182032036981","26.010524598671413","0.08328269704989283","131.23084171376414"
"1","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","65.8","0.568","0.5408571428571429","65.34807826324919","23.767023399724504","0.07294574647498707","134.40278971335758"
"2","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.58","0.5594285714285712","57.67547670287996","29.69803194831793","0.08492161448879898","131.46915747212867"
"3","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","41.8","0.5879999999999999","0.5291428571428574","54.52100803578784","32.107966941590696","0.09021697534008838","130.23841644557902"
"5","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5740000000000001","0.5425714285714287","57.11128924501448","29.448073941932943","0.07617613888001246","130.38839172636807"
"6","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6060000000000001","0.5511428571428572","61.0988435535864","26.312496125348854","0.0946335325209887","131.3226441710089"
"8","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","61","0.5800000000000001","0.5368571428571429","45.32302940386957","42.23023109157427","0.09562185723186048","131.56691366885497"
"7","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","58.6","0.634","0.5411428571428574","66.61448452770213","22.451925010963617","0.08162102890326395","134.14728531479176"
"9","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5740000000000001","0.5314285714285716","57.56127178231406","30.12185096604595","0.08996215069793437","131.828479823343"
"11","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.588","0.5459999999999998","57.45779651050392","29.4303485711258","0.08631315216429414","130.6886424725868"
"12","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6119999999999999","0.5417142857142854","61.80379415006057","26.204403238924463","0.082599721089791","132.46760252264852"
"10","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","44.2","0.558","0.5588571428571432","62.379944156686676","25.266929411182304","0.0749991085856621","132.1186702687625"
"13","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.576","0.5514285714285712","56.772717898783576","29.706157292589175","0.08731017926827606","130.05897818050752"
"15","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5880000000000001","0.5542857142857143","57.42002749102794","29.19398442585309","0.08124769686819776","130.38356878089016"
"16","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","41.8","0.576","0.5342857142857143","54.43894421405966","32.781090677954374","0.09131994481445674","131.11418104418746"
"14","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","53.8","0.5519999999999999","0.5425714285714287","53.41491609403204","34.028194379172724","0.08879631186411814","131.5395731079559"
"17","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.58","0.5457142857142858","56.84032619045972","30.010698681827144","0.09866035746017587","130.3893525928596"
"18","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.588","0.5494285714285714","60.59375243167306","26.112310352826828","0.08238803504928285","130.4970752513957"
"19","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.608","0.5497142857142858","61.23213219464528","25.822113754088022","0.07949234894577302","131.08293474727537"
"20","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.616","0.5448571428571429","57.900997407950385","29.219203883739745","0.09069492276791209","130.9621082906734"
"21","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6","0.536285714285714","60.913796279142794","26.29479081270065","0.09272526344440593","131.0436391160326"
"22","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","39.4","0.586","0.544285714285714","54.40070696687238","33.0130288739737","0.09985722544344355","131.2355325149402"
"23","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.608","0.5368571428571425","57.59235473741402","29.12997427014038","0.08992074321597698","130.3622641039343"
"24","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6100000000000001","0.5391428571428571","61.07996183951092","26.123678972480953","0.09903328252574824","130.90359145265958"
"25","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","44.2","0.5459999999999999","0.5422857142857143","54.358620260011904","32.45959902370034","0.09260890446922475","130.49198691061548"
"26","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.59","0.5414285714285718","60.5905644493","25.823173530287935","0.08419928554218928","130.00867557883882"
"27","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","49","0.552","0.556","62.107394940692764","25.521141645899736","0.08902840405745281","131.80839144266054"
"28","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6","0.5457142857142854","61.036722488729765","25.488994529809325","0.07834377297592426","130.2944653341324"
"29","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5940000000000001","0.5611428571428569","60.34273941598958","26.84360640340794","0.09745655949166974","130.93577629032507"
"30","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","46.6","0.576","0.5242857142857145","52.026017350523716","35.12154751854927","0.1046351787335965","130.74400465945524"
"31","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","56.2","0.584","0.5462857142857143","56.895708694237236","31.050652348987423","0.08245802543060564","132.43570351916523"
"32","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.596","0.5425714285714283","57.40449585177495","29.364488376835855","0.0797873799622721","130.63509658726244"
"33","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","63.4","0.626","0.52","58.81633947675003","30.13212051956789","0.08980942386170768","133.77763789181355"
"34","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.586","0.5385714285714287","57.538189597658516","29.51312342691906","0.0886163546158386","130.89214796720685"
"35","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","44.2","0.5519999999999999","0.5522857142857145","54.901497691936434","32.38003489060141","0.0862692494212837","131.33421522982843"
"36","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","65.8","0.588","0.5502857142857143","61.99085523050222","27.371641865384387","0.08657107450647744","134.50587932336222"
"37","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.584","0.5448571428571429","60.77177749791601","26.29635215025127","0.08470660481057309","130.9942873879156"
"38","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5940000000000001","0.5428571428571431","60.9284904904681","25.58494222994398","0.07979824219722503","130.2551213465315"
"39","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.59","0.5457142857142858","60.669755985437675","26.196247906184592","0.08443370972228764","130.70003911904624"
"40","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.602","0.532","56.7665048705008","29.56286474207147","0.08972552398197281","129.75787073067812"
"41","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","41.8","0.58","0.5454285714285714","54.87024760000631","32.60188886959306","0.0936858538598429","131.4527418315331"
"42","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.572","0.544285714285714","57.04758248552889","29.87868841839009","0.08266400724271819","130.82650047022517"
"43","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","49","0.576","0.5557142857142856","59.13887163859934","27.902643968640742","0.07737196165412855","131.14655947723486"
"44","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","39.4","0.608","0.5214285714285714","54.248883489812336","32.10565316867723","0.08291306058910237","129.93311813345576"
"45","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.616","0.5377142857142858","60.940883258056594","26.024235253730552","0.07883625444057998","130.9496974111885"
"46","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.608","0.5402857142857145","57.816708140504474","29.549907127476615","0.08210584115647919","131.50834077607647"
"47","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.608","0.5391428571428571","60.78711441134556","26.339759058546743","0.08241181580003172","131.13034499352275"
"48","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5879999999999999","0.5380000000000003","57.160989350992246","30.06793139524039","0.09379879725238426","131.05896258669836"
"49","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","68.2","0.5860000000000001","0.5345714285714287","61.652357330737665","27.083694069419874","0.08624017298269707","133.5440358855843"
"50","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.608","0.5302857142857142","57.24831595672672","29.57652083689081","0.0862323005411696","130.57933210425622"
"51","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.654","0.5308571428571427","60.62089721039461","26.56125920882773","0.11533321059703497","130.54506463726563"
"52","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.6280000000000001","0.556","61.589188495245565","26.016731136972005","0.09743844743535278","131.5671869243092"
"53","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","41.8","0.642","0.5391428571428571","56.24595674653646","31.643297216801216","0.08453786164333366","132.25853959253027"
"54","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","56.2","0.5740000000000001","0.551714285714286","60.1943329497432","27.649299141598448","0.0799625554440425","132.3390023434998"
"55","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.642","0.5454285714285714","58.598704927682356","29.093085559888447","0.10449095531296848","131.54052315564545"
"56","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.6459999999999999","0.532","60.97800395517699","25.40643965220378","0.0826872934677425","129.98644869413727"
"57","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","51.4","0.5900000000000001","0.5317142857142856","57.6213926516374","30.262771540888142","0.0818333669124499","132.33685145143386"
"58","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.62","0.5474285714285712","61.940824834703086","25.299120803391038","0.0748252138538092","131.4537811792736"
"59","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","44.2","0.604","0.5311428571428571","55.85784575818396","31.715600870759143","0.09832912719917744","131.51530654331813"
"60","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","41.8","0.6559999999999999","0.5237142857142856","55.68580365168809","31.7347803591801","0.10946317370696478","131.03634718062273"
"61","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.662","0.5434285714285716","61.725334222188934","25.507270347155096","0.09801387934671624","130.97126626227225"
"62","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","65.8","0.6279999999999999","0.5257142857142858","62.21407312846372","26.575222289443452","0.09150515917844758","133.48741967357412"
"63","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.608","0.5408571428571429","57.98557453902085","29.45739543191453","0.09066904936584166","131.44661593728623"
"64","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","49","0.6060000000000001","0.5339999999999998","55.05450405213606","32.87320393499004","0.08087786397623375","132.41633720460234"
"65","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","56.2","0.648","0.516","65.49071959579132","23.161295213243804","0.08431413328292336","133.43599413989685"
"66","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.6779999999999999","0.5288571428571429","62.53133751969958","24.79565683200061","0.09683914451758256","131.12547913345824"
"67","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","41.8","0.584","0.5348571428571427","55.586128115368325","31.463194552404925","0.07657191387957596","131.15219719859908"
"68","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.67","0.5242857142857145","62.13767111349162","25.292416436197072","0.09988843299065167","131.22455723304435"
"69","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","56.2","0.53","0.5628571428571427","56.122906591309935","31.660529786851487","0.07681530337349757","132.30839232538727"
"70","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.6380000000000001","0.5425714285714287","62.500255482446924","25.64063322302918","0.09291810522908293","132.46172186367238"
"71","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.636","0.532","61.52905146760344","25.335341834391574","0.08832824416368795","130.59083265640868"
"73","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","56.2","0.642","0.5179999999999998","61.63856141776952","26.44558248024808","0.0715958724478341","132.8160512812021"
"72","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.63","0.5345714285714287","57.62918063528814","28.91491157789934","0.09672653939581154","129.94145151367078"
"74","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","63.4","0.646","0.5260000000000002","62.81373374820182","27.14094252301055","0.08106778693557999","135.49295285255837"
"75","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","53.8","0.624","0.5274285714285716","61.035238125060246","26.887645992600252","0.0731914956130467","132.54764107980253"
"76","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.622","0.5362857142857145","57.55079961145958","28.998306342608952","0.0940633440476944","130.01822782142682"
"77","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.644","0.5342857142857143","62.348805751569714","25.640744512779037","0.09515331647357926","132.176355476084"
"78","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.664","0.5254285714285714","58.92360338419007","28.37271577747209","0.0961720172729514","131.09271048787423"
"79","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.646","0.5388571428571427","58.891196626823366","28.266298297051215","0.07795238033032206","131.25609906006036"
"80","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.632","0.5271428571428571","58.006072948233495","28.958920921253426","0.09635704472477472","130.59787595074286"
"81","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.6239999999999999","0.5385714285714283","61.79628318420941","25.90088386460668","0.09403079066640459","131.77170924619583"
"82","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","51.4","0.624","0.5294285714285714","56.93785988843516","30.163966389923086","0.06909203535063427","131.3998972691777"
"83","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","61","0.626","0.5180000000000002","47.38688359004405","41.05342432967072","0.10656966469059484","132.680870218093"
"84","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","51.4","0.63","0.5168571428571429","60.57769658240101","27.6132518713259","0.08999112202952234","132.61858777766352"
"86","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.6220000000000001","0.5334285714285714","58.079374207332194","28.98743278254738","0.08365343174650804","131.00426227776836"
"85","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.6260000000000001","0.5374285714285714","57.51389593662832","29.10504780886325","0.10120150220990497","129.96742533278615"
"87","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","46.6","0.6599999999999999","0.5065714285714282","54.251182219350554","32.85956946568011","0.08480868936764381","131.0620116293138"
"88","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.636","0.5414285714285714","58.64877281610814","28.771697438866397","0.09035360492900679","131.4143639728485"
"89","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","49","0.608","0.5322857142857145","53.876192511232816","33.787003879786056","0.09677631593071966","131.70875860202062"
"90","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","39.4","0.634","0.5345714285714287","58.393868672653575","29.079263322128156","0.10565488093660208","131.2000004963473"
"91","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","44.2","0.618","0.5148571428571427","53.38013534385747","33.55649573702052","0.07180697781461731","131.05983925323167"
"92","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","49","0.614","0.5348571428571427","56.81840590452987","30.376389403268476","0.09076246655450859","131.11400187922746"
"93","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.608","0.5385714285714287","58.19348807652904","29.075515901730586","0.08514038225823556","131.29272545007348"
"94","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.616","0.5525714285714285","61.842755387690744","25.483575703161478","0.08609440912379825","131.37339778974626"
"95","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","37","0.626","0.5354285714285716","57.37095754646014","29.246975748499125","0.09878087177958861","130.01583867551895"
